"Time (s)","Sound pressure level (dB)"
2.270220000E2,6.300043778E1
2.273130000E2,5.934584116E1
2.275640000E2,5.367094537E1
2.278520000E2,6.260544714E1
2.281140000E2,5.666507163E1
2.283970000E2,6.099713971E1
2.287020000E2,5.943082312E1
2.289450000E2,6.095935321E1
2.292950000E2,5.939706013E1
2.296230000E2,5.612117806E1
2.299220000E2,5.805831404E1
2.301570000E2,5.496048372E1
2.304070000E2,5.335836124E1
2.306490000E2,5.043808989E1
2.309270000E2,4.778025574E1
2.311680000E2,4.613189565E1
2.314100000E2,4.740314381E1
2.316580000E2,5.230056147E1
2.319150000E2,5.672989332E1
2.321590000E2,6.081799709E1
2.325030000E2,5.909736866E1
2.327570000E2,5.528762811E1
2.330520000E2,6.623131701E1
2.333360000E2,6.376149752E1
2.335730000E2,6.088376871E1
2.338700000E2,6.235681388E1
2.341160000E2,6.060610548E1
2.343930000E2,5.779254532E1
2.346370000E2,5.570043106E1
2.349010000E2,6.172637016E1
2.351520000E2,5.865545525E1
2.354420000E2,6.250465685E1
2.356850000E2,6.494272879E1
2.359310000E2,6.075163542E1
2.361840000E2,5.742858606E1
2.364460000E2,5.756917813E1
2.366990000E2,6.169927684E1
2.370080000E2,5.540268710E1
2.373040000E2,5.484088652E1
2.376000000E2,5.732112773E1
2.378800000E2,5.184194161E1
2.381270000E2,5.604168635E1
2.383910000E2,5.644051218E1
2.387130000E2,6.049774032E1
2.390290000E2,6.303013407E1
2.392800000E2,6.115111046E1
2.395770000E2,6.294174883E1
2.398740000E2,6.716012591E1
2.401880000E2,7.075117191E1
2.404890000E2,6.435561631E1
2.407550000E2,5.593172595E1
2.410720000E2,5.781614361E1
2.413350000E2,5.497792445E1
2.416080000E2,5.569244646E1
2.418870000E2,5.408109683E1
2.421100000E2,5.687440525E1
2.424230000E2,6.415333296E1
2.427170000E2,6.528722740E1
2.429900000E2,6.229384329E1
2.432350000E2,5.452507698E1
2.434960000E2,5.248331654E1
2.437450000E2,5.069826347E1
2.439880000E2,4.989889277E1
2.442610000E2,5.196931346E1
2.445130000E2,4.988417717E1
2.448120000E2,5.950968466E1
2.451200000E2,5.725324421E1
2.454210000E2,5.902908729E1
2.456980000E2,5.857784521E1
2.459650000E2,5.154496059E1
2.462670000E2,5.316738342E1
2.465660000E2,5.681338179E1
2.468580000E2,5.486468116E1
2.471080000E2,5.378622946E1
2.473840000E2,5.263910847E1
2.477040000E2,5.102724000E1
2.479590000E2,4.958128022E1
2.482070000E2,5.621813465E1
2.486190000E2,5.553111013E1
2.489120000E2,5.711728514E1
2.491630000E2,6.098223102E1
2.494610000E2,5.812970142E1
2.497290000E2,5.874411947E1
2.500090000E2,6.058797235E1
2.503160000E2,5.921850964E1
2.506300000E2,5.825659244E1
2.508940000E2,5.902074554E1
2.512250000E2,5.857720223E1
2.514860000E2,5.834259509E1
2.517560000E2,5.664723408E1
2.520110000E2,6.245873243E1
2.522800000E2,6.018081628E1
2.525490000E2,6.060905480E1
2.527980000E2,6.098924059E1
2.530310000E2,6.604497204E1
2.532750000E2,5.762503683E1
2.535750000E2,5.946675250E1
2.538150000E2,5.696283688E1
2.541120000E2,5.795434272E1
2.543420000E2,5.641662406E1
2.546470000E2,6.001503419E1
2.549610000E2,5.913147779E1
2.552050000E2,5.772050526E1
2.554250000E2,5.986895040E1
2.557400000E2,4.836792039E1
2.560130000E2,4.818172752E1
2.563450000E2,5.244597112E1
2.566130000E2,5.174954560E1
2.568650000E2,5.165225717E1
2.571100000E2,4.865803315E1
